# Sample ARCore pose data with RFID tag detections
1001033333333 0.000000 0.000000 0.980396 0.197035 -0.772690 1.844709 1.500000
1001066666666 0.000000 0.000000 0.973651 0.228042 -0.888133 1.791988 1.500000
1001100000000 0.000000 0.000000 0.965926 0.258819 -1.000000 1.732051 1.500000
1001133333333 0.000000 0.000000 0.957228 0.289336 -1.107840 1.665140 1.500000
1001166666666 0.000000 0.000000 0.947566 0.319561 -1.211219 1.591524 1.500000
1001200000000 0.000000 0.000000 0.936950 0.349464 -1.309721 1.511499 1.500000
1001233333333 0.000000 0.000000 0.925390 0.379016 -1.402950 1.425388 1.500000
1001266666666 0.000000 0.000000 0.912899 0.408186 -1.490529 1.333538 1.500000
1001300000000 0.000000 0.000000 0.899488 0.436945 -1.572106 1.236318 1.500000
1001333333333 0.000000 0.000000 0.885172 0.465263 -1.647353 1.134120 1.500000 TAG001
1001366666666 0.000000 0.000000 0.869965 0.493114 -1.715967 1.027355 1.500000
1001400000000 0.000000 0.000000 0.853881 0.520468 -1.777671 0.916453 1.500000
1001433333333 0.000000 0.000000 0.836938 0.547298 -1.832217 0.801861 1.500000
1001466666666 0.000000 0.000000 0.819152 0.573576 -1.879385 0.684040 1.500000
1001500000000 0.000000 0.000000 0.800541 0.599278 -1.918986 0.563465 1.500000
1001533333333 0.000000 0.000000 0.781124 0.624375 -1.950860 0.440621 1.500000
1001566666666 0.000000 0.000000 0.760921 0.648845 -1.974878 0.316003 1.500000
1001600000000 0.000000 0.000000 0.739951 0.672660 -1.990944 0.190112 1.500000
1001633333333 0.000000 0.000000 0.718237 0.695799 -1.998993 0.063456 1.500000
1001666666666 0.000000 0.000000 0.695799 0.718237 -1.998993 -0.063456 1.500000
1001700000000 0.000000 0.000000 0.672660 0.739951 -1.990944 -0.190112 1.500000
1001733333333 0.000000 0.000000 0.648845 0.760921 -1.974878 -0.316003 1.500000
1001766666666 0.000000 0.000000 0.624375 0.781124 -1.950860 -0.440621 1.500000
1001800000000 0.000000 0.000000 0.599278 0.800541 -1.918986 -0.563465 1.500000
1001833333333 0.000000 0.000000 0.573576 0.819152 -1.879385 -0.684040 1.500000
1001866666666 0.000000 0.000000 0.547298 0.836938 -1.832217 -0.801861 1.500000
1001900000000 0.000000 0.000000 0.520468 0.853881 -1.777671 -0.916453 1.500000
1001933333333 0.000000 0.000000 0.493114 0.869965 -1.715967 -1.027355 1.500000
1001966666666 0.000000 0.000000 0.465263 0.885172 -1.647353 -1.134120 1.500000
1002000000000 0.000000 0.000000 0.436945 0.899488 -1.572106 -1.236318 1.500000 TAG001
1002033333333 0.000000 0.000000 0.408186 0.912899 -1.490529 -1.333538 1.500000
1002066666666 0.000000 0.000000 0.379016 0.925390 -1.402950 -1.425388 1.500000
1002100000000 0.000000 0.000000 0.349464 0.936950 -1.309721 -1.511499 1.500000
1002133333333 0.000000 0.000000 0.319561 0.947566 -1.211219 -1.591524 1.500000
1002166666666 0.000000 0.000000 0.289336 0.957228 -1.107840 -1.665140 1.500000
1002200000000 0.000000 0.000000 0.258819 0.965926 -1.000000 -1.732051 1.500000
1002233333333 0.000000 0.000000 0.228042 0.973651 -0.888133 -1.791988 1.500000
1002266666666 0.000000 0.000000 0.197035 0.980396 -0.772690 -1.844709 1.500000
1002300000000 0.000000 0.000000 0.165830 0.986154 -0.654136 -1.890002 1.500000
1002333333333 0.000000 0.000000 0.134458 0.990919 -0.532948 -1.927684 1.500000
1002366666666 0.000000 0.000000 0.102950 0.994686 -0.409613 -1.957605 1.500000
1002400000000 0.000000 0.000000 0.071339 0.997452 -0.284630 -1.979643 1.500000
1002433333333 0.000000 0.000000 0.039656 0.999213 -0.158500 -1.993710 1.500000
1002466666666 0.000000 0.000000 0.007933 0.999969 -0.031732 -1.999748 1.500000
1002500000000 0.000000 0.000000 -0.023798 0.999717 0.095164 -1.997735 1.500000
1002533333333 0.000000 0.000000 -0.055505 0.998458 0.221676 -1.987677 1.500000
1002566666666 0.000000 0.000000 -0.087156 0.996195 0.347296 -1.969616 1.500000
1002600000000 0.000000 0.000000 -0.118719 0.992928 0.471518 -1.943623 1.500000
1002633333333 0.000000 0.000000 -0.150163 0.988661 0.593841 -1.909804 1.500000
1002666666666 0.000000 0.000000 -0.181455 0.983399 0.713772 -1.868296 1.500000 TAG001
1002700000000 0.000000 0.000000 -0.212565 0.977147 0.830830 -1.819264 1.500000
1002733333333 0.000000 0.000000 -0.243461 0.969911 0.944542 -1.762907 1.500000
1002766666666 0.000000 0.000000 -0.274112 0.961698 1.054451 -1.699451 1.500000
1002800000000 0.000000 0.000000 -0.304486 0.952517 1.160114 -1.629152 1.500000
1002833333333 0.000000 0.000000 -0.334555 0.942376 1.261105 -1.552293 1.500000
1002866666666 0.000000 0.000000 -0.364286 0.931287 1.357019 -1.469183 1.500000
1002900000000 0.000000 0.000000 -0.393650 0.919260 1.447468 -1.380158 1.500000
1002933333333 0.000000 0.000000 -0.422618 0.906308 1.532089 -1.285575 1.500000
1002966666666 0.000000 0.000000 -0.451161 0.892443 1.610541 -1.185816 1.500000
1003000000000 0.000000 0.000000 -0.479249 0.877679 1.682507 -1.081282 1.500000
1003033333333 0.000000 0.000000 -0.506855 0.862032 1.747699 -0.972393 1.500000
1003066666666 0.000000 0.000000 -0.533950 0.845516 1.805853 -0.859590 1.500000
1003100000000 0.000000 0.000000 -0.560508 0.828149 1.856736 -0.743325 1.500000
1003133333333 0.000000 0.000000 -0.586501 0.809949 1.900142 -0.624067 1.500000
1003166666666 0.000000 0.000000 -0.611904 0.790932 1.935897 -0.502296 1.500000
1003200000000 0.000000 0.000000 -0.636690 0.771120 1.963857 -0.378502 1.500000
1003233333333 0.000000 0.000000 -0.660836 0.750531 1.983910 -0.253185 1.500000
1003266666666 0.000000 0.000000 -0.684316 0.729186 1.995973 -0.126848 1.500000
1003300000000 0.000000 0.000000 -0.707107 0.707107 2.000000 -0.000000 1.500000
